,id,date,token0,token1,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,reserve0,reserve1,reserveUSD
0,0xf52f433b79d21023af94251958bed3b64a2b7930-18576,2020-11-10 01:00:00,HKMT,USDT,6025.25241,770.917799,769.579586028753499551010017748277,388550720.98186,49863028.692022,99552945.92684880748485625303237261
1,0xf52f433b79d21023af94251958bed3b64a2b7930-18566,2020-10-31 01:00:00,HKMT,USDT,2172.052087,278.147477,277.4752076191614929878558280885569,388544695.72945,49863799.609821,99465231.43100071098564477608623012
2,0xf52f433b79d21023af94251958bed3b64a2b7930-18565,2020-10-30 01:00:00,HKMT,USDT,125000,15998.9985,15967.10657142633914622543501243999,388543126.392121,49864000.174598,99529205.51438614715105836827386115
3,0xf52f433b79d21023af94251958bed3b64a2b7930-18564,2020-10-29 01:00:00,HKMT,USDT,2500,320.084696,319.4544259203435120659353154056024,388418126.392121,49879999.173098,99563563.64347535490709598135916752
4,0xf52f433b79d21023af94251958bed3b64a2b7930-18563,2020-10-28 01:00:00,HKMT,USDT,298.06691,38.39289,38.33915038338336106300711424987669,388415626.392121,49880319.257794,99621000.72152616190387877234197012
5,0xf52f433b79d21023af94251958bed3b64a2b7930-18557,2020-10-22 02:00:00,HKMT,USDT,201.853772,26,25.93521134447253853642643764800038,388415924.459031,49880280.864904,99511971.24253343901441672150724404
6,0xf52f433b79d21023af94251958bed3b64a2b7930-18556,2020-10-21 02:00:00,HKMT,USDT,38410.51905,4947.016447,4947.839014648385343597638209147453,388416126.312803,49880254.864904,99777097.4587491347202204055625011
7,0xf52f433b79d21023af94251958bed3b64a2b7930-18555,2020-10-20 02:00:00,HKMT,USDT,219600,28126.679787,28073.56309387739382268611575007677,388454536.831853,49875307.848457,99562238.58013774594036519496338002
8,0xf52f433b79d21023af94251958bed3b64a2b7930-18553,2020-10-18 02:00:00,HKMT,USDT,677.439031,86.82242,86.63370377454594810589858410458055,388234936.831853,49903434.528244,99598963.91415538552589550995215851
9,0xf52f433b79d21023af94251958bed3b64a2b7930-18552,2020-10-17 02:00:00,HKMT,USDT,77.563597,10,9.987985265521139768537917615934074,388234274.905584,49903519.350664,99687123.19441622169791850595235626
10,0xf52f433b79d21023af94251958bed3b64a2b7930-18551,2020-10-16 02:00:00,HKMT,USDT,387.81768,49.70045,49.63368624925640140209107286723642,388234352.469181,49903509.350664,99672945.65130456668243894028777013
11,0xf52f433b79d21023af94251958bed3b64a2b7930-18550,2020-10-15 02:00:00,HKMT,USDT,4631.222889,595.451269,593.5614009064462510705979765362203,388233964.651501,49903559.051114,99620200.87410951388459439588573544
12,0xf52f433b79d21023af94251958bed3b64a2b7930-18549,2020-10-14 02:00:00,HKMT,USDT,592.119053,76.339678,76.15756287781711220353717046820572,388234352.469182,49903507.412313,99460870.35127694442838217197624632
13,0xf52f433b79d21023af94251958bed3b64a2b7930-18548,2020-10-13 02:00:00,HKMT,USDT,14.638199,1.887245,1.881495618057768771222873305576596,388234944.588235,49903431.072635,99502806.35445917419974775752417624
14,0xf52f433b79d21023af94251958bed3b64a2b7930-18546,2020-10-11 02:00:00,HKMT,USDT,1155.147957,148.036843,147.7030519104845395437281036291843,388234959.226434,49903429.18539,99581815.47387967964708429510044871
15,0xf52f433b79d21023af94251958bed3b64a2b7930-18545,2020-10-10 02:00:00,HKMT,USDT,2902.267212,373.060531,371.5294097072783028713060188461918,388233804.078477,49903577.222233,99407142.25774871220048051464730314
16,0xf52f433b79d21023af94251958bed3b64a2b7930-18544,2020-10-09 02:00:00,HKMT,USDT,1721.314322,221.486314,220.7032470151192271176609393615945,388233804.078477,49903576.101376,99526311.69644085162960988384421541
17,0xf52f433b79d21023af94251958bed3b64a2b7930-18543,2020-10-08 02:00:00,HKMT,USDT,639.98647,82.016959,81.77786401497721020107666130820749,388234393.060099,49903499.728676,99516043.13159472380022655038934589
18,0xf52f433b79d21023af94251958bed3b64a2b7930-18542,2020-10-07 02:00:00,HKMT,USDT,787847.646766,101170.274061,100820.4821948208649049028242427982,388233753.073629,49903581.745635,99416119.7085463887660290548205918
19,0xf52f433b79d21023af94251958bed3b64a2b7930-18541,2020-10-06 02:00:00,HKMT,USDT,529.891302,68.592175,68.27159917082312166829380714074769,387453343.182327,50003793.08441,99809791.10230617236616502291196298
20,0xf52f433b79d21023af94251958bed3b64a2b7930-18540,2020-10-05 02:00:00,HKMT,USDT,40.687631,5.266833,5.241797534100458390968991065267062,387454164.617079,50003762.118128,99532146.53532749740921549151686624
21,0xf52f433b79d21023af94251958bed3b64a2b7930-18539,2020-10-04 02:00:00,HKMT,USDT,180.576616,23.374827,23.3073787831732317070971146042309,387454205.30471,50003756.851295,99720849.23138178490804863081273117
22,0xf52f433b79d21023af94251958bed3b64a2b7930-18538,2020-10-03 02:00:00,HKMT,USDT,373.595174,48.070505,47.87036998595245787287064172045563,387454205.30471,50003710.171755,99591053.04145426282496948338938654
23,0xf52f433b79d21023af94251958bed3b64a2b7930-18537,2020-10-02 02:00:00,HKMT,USDT,373.595174,48.360231,48.23564989256251897011147427807379,387453831.709536,50003758.24226,99749886.46708452411751545349414201
24,0xf52f433b79d21023af94251958bed3b64a2b7930-18535,2020-09-30 02:00:00,HKMT,USDT,5.495782,0.709272,0.7083530968376091534804801264333975,387454205.30471,50003709.882029,99887578.69184318588205648847304591
25,0xf52f433b79d21023af94251958bed3b64a2b7930-18533,2020-09-28 02:00:00,HKMT,USDT,1238.222738,159.32252,158.9028331016137827564869860008626,387454205.30471,50003709.879897,99743980.5183446654114591674341937
26,0xf52f433b79d21023af94251958bed3b64a2b7930-18532,2020-09-27 02:00:00,HKMT,USDT,87.994622,11.322335,11.28923777210466331550739797450105,387452967.081972,50003869.202417,99715397.74283433246478703044608319
27,0xf52f433b79d21023af94251958bed3b64a2b7930-18531,2020-09-26 02:00:00,HKMT,USDT,113.487042,14.690474,14.64505400124160729844430800988829,387452879.08735,50003880.524752,99708715.62607130098783405455699386
28,0xf52f433b79d21023af94251958bed3b64a2b7930-18530,2020-09-25 02:00:00,HKMT,USDT,1588.355808,204.375718,203.6084077732233713918586580146572,387452967.081972,50003862.544279,99632255.09159331083211648084983906
29,0xf52f433b79d21023af94251958bed3b64a2b7930-18528,2020-09-23 02:00:00,HKMT,USDT,1342.39309,172.728693,172.2750341312447952463087343994904,387451378.726164,50004066.919997,99849920.15637733544938282226438683
30,0xf52f433b79d21023af94251958bed3b64a2b7930-18527,2020-09-22 02:00:00,HKMT,USDT,27972.774805,3600.821482,3590.254469049266901054235169845419,387450036.333074,50004239.64869,99710832.9156742992446381273416693
31,0xf52f433b79d21023af94251958bed3b64a2b7930-18525,2020-09-20 02:00:00,HKMT,USDT,5839.561396,751.499241,747.9659220276833847515340189264027,387425240.269885,50007429.196384,99533231.6831249252705692668505916
32,0xf52f433b79d21023af94251958bed3b64a2b7930-18524,2020-09-19 02:00:00,HKMT,USDT,5800.975742,746.556008,743.2779995121879289243643509231797,387423247.317833,50008677.211697,99746215.41793769025586264591555033
33,0xf52f433b79d21023af94251958bed3b64a2b7930-18523,2020-09-18 02:00:00,HKMT,USDT,17657.147024,2274.287274,2261.533078323130375637820874307385,387417446.342091,50009423.767705,99415943.34010061319433984329795364
34,0xf52f433b79d21023af94251958bed3b64a2b7930-18522,2020-09-17 02:00:00,HKMT,USDT,27006.867057,3490.518515,3476.175370635772256844338288219578,387405039.336289,50011167.24323,99628149.00076676434352877678483967
35,0xf52f433b79d21023af94251958bed3b64a2b7930-18521,2020-09-16 02:00:00,HKMT,USDT,117550.855045,15180.981552,15154.26982577521208937844620681687,387429976.442364,50011599.400778,99730232.10038239445027137702851506
36,0xf52f433b79d21023af94251958bed3b64a2b7930-18520,2020-09-15 02:00:00,HKMT,USDT,12280.858921,1588.066017,1581.112600414938774619185110138465,387429994.164645,50007921.699191,99690695.97765189730339095013403513
37,0xf52f433b79d21023af94251958bed3b64a2b7930-18519,2020-09-14 02:00:00,HKMT,USDT,12133.568721,1562.622806,1556.965870564325290400505721544113,387429975.735096,50005964.639982,99426377.63592063344805151854655288
38,0xf52f433b79d21023af94251958bed3b64a2b7930-18518,2020-09-13 02:00:00,HKMT,USDT,1434.198095,184.792379,184.4321906766433461159979952396097,387420075.735106,50007013.285961,99816474.10130476760275074806138709
39,0xf52f433b79d21023af94251958bed3b64a2b7930-18517,2020-09-12 02:00:00,HKMT,USDT,15925.996857,2050.345389,2030.866963359403784716157365586188,387419222.125579,50007122.911836,99196967.16122789369728946783639811
40,0xf52f433b79d21023af94251958bed3b64a2b7930-18516,2020-09-11 02:00:00,HKMT,USDT,387.87838,49.919836,49.38976564484801984044861557247202,387405246.489048,50008920.749371,98955808.90783419670708906399978263
41,0xf52f433b79d21023af94251958bed3b64a2b7930-18515,2020-09-10 02:00:00,HKMT,USDT,59424.488771,7686.542757,7610.643081775387526158505351085512,387404858.610668,50008970.669207,98494106.822545189039853724878103
42,0xf52f433b79d21023af94251958bed3b64a2b7930-18514,2020-09-09 02:00:00,HKMT,USDT,2500,323.615736,322.3519851757873256943383978229624,387447260.012709,50003474.72631,99616412.61915234754166883002127608
43,0xf52f433b79d21023af94251958bed3b64a2b7930-18513,2020-09-08 02:00:00,HKMT,USDT,1259.639486,162.581319,161.6397450559074627888258851999836,387449760.012709,50003151.110574,99227838.82803318922701376366933832
44,0xf52f433b79d21023af94251958bed3b64a2b7930-18512,2020-09-07 02:00:00,HKMT,USDT,1569.337329,203.142723,201.3591332537000263738190450033555,387449798.498273,50003145.655285,99128237.72778416324984203045690514
45,0xf52f433b79d21023af94251958bed3b64a2b7930-18511,2020-09-06 02:00:00,HKMT,USDT,690.888595,89.004201,88.56884553860060942469338237548295,232479940.808777,30002942.512562,59776351.13033496186786462271609585
46,0xf52f433b79d21023af94251958bed3b64a2b7930-18510,2020-09-05 02:00:00,HKMT,USDT,7698.80746,990.995574,987.6180367065266609258869930480872,232479528.913658,30002995.402559,59813867.40761145328449035741745258
47,0xf52f433b79d21023af94251958bed3b64a2b7930-18509,2020-09-04 02:00:00,HKMT,USDT,11266.150769,1449.93671,1445.504864521243804170214572899205,232472765.131094,30003865.356711,59746883.06577264005205338111761633
48,0xf52f433b79d21023af94251958bed3b64a2b7930-18508,2020-09-03 02:00:00,HKMT,USDT,12136.201494,1570.298902,1565.62280866068116272065933863531,232461962.885751,30005255.239829,59806357.02584238058218799104322219
49,0xf52f433b79d21023af94251958bed3b64a2b7930-18507,2020-09-02 02:00:00,HKMT,USDT,39685.978673,5109.376059,5093.308482856222239928676953952876,232471962.885751,30003959.823603,59988836.42872667256185312204137299
50,0xf52f433b79d21023af94251958bed3b64a2b7930-18506,2020-09-01 02:00:00,HKMT,USDT,841180.034572,108718.139712,108399.4020595356177513367461678168,232437365.594888,30008410.410268,59625958.26884610287093628184193079
