,id,date,dailyVolumeETH,dailyVolumeUSD,totalLiquidityUSD,totalLiquidityInEth
0,18579,2020-11-13 01:00:00,469410.4623859635551977658945417363,218763816.2157261673513141580825717,3341536323.83353506735734003615149,7097582.600447623456008155685610213
1,18578,2020-11-12 01:00:00,489691.011872198457211315997873871,224834050.1173569709461882295039905,3274636232.795256026388077475336408,7086695.334219982022589244282620378
2,18577,2020-11-11 01:00:00,503994.5493693780209125567457558741,233224092.4965460107048287960681101,3315712480.961712644369219782946553,7149378.621320772330313665847558053
3,18576,2020-11-10 01:00:00,503149.0623317481585269072744348346,225087481.8945923420723102096897053,3239244467.079700220379679111796318,7193833.480032265426780255315254432
4,18575,2020-11-09 01:00:00,540143.5967901681409070012645870985,241667695.8637598029495189446474713,3206689524.857964239888724615440829,7232812.138950874043921516238775724
5,18574,2020-11-08 01:00:00,436740.6533610344738540004041894203,194745953.5488289251777881893893971,3102172380.373376414536808537728267,6823567.081822477691612461914460294
6,18573,2020-11-07 01:00:00,902556.0407380790473240020178051224,405550496.3281552305603782979441735,3008206770.80507897779845726687936,6904460.325370326738776298739624614
7,18572,2020-11-06 01:00:00,807830.3533961963180865423653242367,353091514.6366875213158756804449356,3087776140.132299029228513442959506,6785831.019222096554642043950690193
8,18571,2020-11-05 01:00:00,706141.3854101855050130609812223864,287866490.9147965202024973297531166,2981025160.296372102770079442279756,7188113.656449684690448167023231249
9,18570,2020-11-04 01:00:00,570359.3502882333248437203544144856,222743651.9041430980415495966913181,2936498153.75718398680226255228058,7325987.049395954535098458523113548
10,18569,2020-11-03 01:00:00,557823.8906366759392115046327732732,211277062.0264111190816828802432052,2863897332.232401090751921625570591,7396367.23752959532146650577313773
11,18568,2020-11-02 01:00:00,527846.5689680049452986556059134273,205837745.2898646322821980647830003,2886130662.929654115985047930387961,7544849.520666910205883578923587794
12,18567,2020-11-01 01:00:00,402194.6004404424983688747418997611,156264802.6989238230902776526492797,3005262445.988328042241231335300248,7619513.946443241081624453113926647
13,18566,2020-10-31 01:00:00,565535.0214096571589607777798694527,218318748.0513960446106957492836914,2986486848.520409110470541015337189,7739147.148469471692970159564589092
14,18565,2020-10-30 01:00:00,875430.0961171125967664797236467889,333904545.0410090786127980101039124,2911503162.527768405762092681277002,7600111.218125919896929383634699375
15,18564,2020-10-29 01:00:00,827644.1165095006464404245238836983,321120296.9954366620330099927255493,2927337476.403273050310664839227085,7600502.406751668671504982101400367
16,18563,2020-10-28 01:00:00,987736.3266505891328362018384411737,385042473.2250403670150037884986515,2960554006.529874369820406848875319,7643053.745486137653077517476926178
17,18562,2020-10-27 01:00:00,486810.4668457596631208902385227992,194414960.3674372084360620210274286,3045274370.3220332397030298599077,7549470.531071291938475819414643104
18,18561,2020-10-26 01:00:00,5362827.767007339733430554291980635,2186995122.592419631677599025375195,2991066558.810915906473756754100888,7609826.042458182167245720064799693
19,18560,2020-10-25 02:00:00,362731.2427089844485728941454599266,148218689.2401536189781566397840069,2970058069.937108942876283829992309,7325897.612732640731391802379797218
20,18559,2020-10-24 02:00:00,316917.2465158196606311387013388531,130394813.3413628093496496540850261,2928663017.297646956800482799308955,7132810.199381088363570587432047678
21,18558,2020-10-23 02:00:00,511191.7166477510744582064702009914,209934623.8883072816385660897486069,2840686438.16238882010530889625513,6963825.51340775192186553345127311
22,18557,2020-10-22 02:00:00,576087.1382475611174944147063373334,234055912.8082492279442204977611522,2953195914.282845779263336458332967,7140582.20667273617678070999953546
23,18556,2020-10-21 02:00:00,713207.2773405095981890866626364483,274714346.6144682434354061107824951,2959303815.997625093170699614157301,7561328.460462939511765439553263798
24,18555,2020-10-20 02:00:00,527099.6842940290966683962299649383,196065945.0453447817584829984724815,2917072068.490134873019093117843235,7931014.03518891379195793481482529
25,18554,2020-10-19 02:00:00,428878.9534360691923143469887233148,161626747.6465313498257220867172509,2999032246.033659205057962814246046,7929187.024155053843311147207174964
26,18553,2020-10-18 02:00:00,383069.3607798633535979755513827141,142536540.5636438007742508134621091,2978223456.31581224498022848779348,7913259.693114723063124793138210382
27,18552,2020-10-17 02:00:00,369023.8955806669474022922299750568,135150987.0620541268099635956474351,2922963144.292518886693384667469017,7972620.696288639198196129754945625
28,18551,2020-10-16 02:00:00,500224.9707636223745175592589255821,184340099.4461044552547640487533724,2923304051.034725394441361869733436,8007550.818622358323552040988468695
29,18550,2020-10-15 02:00:00,581419.9708294418868957521027643238,218528878.2740115869540452367894428,3029384251.403892341529082939800475,8029980.27073329726701681347016268
30,18549,2020-10-14 02:00:00,571016.105859119208024608618852543,216330563.1373860255310090307077644,2988045162.937850534973751569208927,7921657.953224152040610944431030985
31,18548,2020-10-13 02:00:00,530709.3245382406601410307700713363,202117760.6105140083255799842879242,2869853122.806925422689460763967185,7538283.608232372590927865699445977
32,18547,2020-10-12 02:00:00,679538.3496203585614272741773460295,257743940.5832313045878304866792069,2912014112.671882503915817293389093,7532298.752096704912573979467739024
33,18546,2020-10-11 02:00:00,513849.6026452913010321586272824933,191261050.4159191181916388359452103,2884189190.727339075429561118928668,7738824.925555385233621845768125328
34,18545,2020-10-10 02:00:00,626492.6874069365358301147874406964,233287470.15603928734263122594429,2791544711.590758107694006753278097,7534624.295010324596325427724286842
35,18544,2020-10-09 02:00:00,744452.2266633090227552279801887042,265800089.495061329506908331298883,2680119427.487507379559746567246872,7355288.417381431546617200439616144
36,18543,2020-10-08 02:00:00,891436.1459925226462749959070361963,306299782.3830146860293309019848585,2564611072.488584911954864931647707,7325344.184823534740392807746278224
37,18542,2020-10-07 02:00:00,951936.2731276360783794374716753724,321807581.2330394978031959438983688,2432532790.640792376598321839287221,7141923.343214764351595849250356491
38,18541,2020-10-06 02:00:00,1193511.383239150845682242807827795,412127415.4160108103180424582488786,2412707107.309212662779977976328125,7132435.947833943127187451589085969
39,18540,2020-10-05 02:00:00,714107.2092768157263301395064173175,250755805.811317177612452671357372,2495394378.47387270767295184680505,7091284.495876652070982245901076648
40,18539,2020-10-04 02:00:00,841874.8202743361453841467700713633,292176299.5875724435600815339245139,2470945819.963632221243667386999369,7038908.172680904881469669210066102
41,18538,2020-10-03 02:00:00,765091.225862791423789081448334798,264989053.4235504018127255758089048,2440433487.072365269147882308565157,7043542.408424326747367537627094125
42,18537,2020-10-02 02:00:00,1279769.427410130029691208773905787,438869497.6753449704705443771019682,2395190418.494782167912684270984904,6956863.580808223055726361149766663
43,18536,2020-10-01 02:00:00,1023564.684601144535040911708357391,365097426.1289603940769852165087757,2417777667.163418968259257658603903,6888188.084340875071777594407258049
44,18535,2020-09-30 02:00:00,746362.645378770278595141284950208,264900309.3789115607506499894586545,2399844585.134516074108437901444228,6690204.687033021264998722488601923
45,18534,2020-09-29 02:00:00,1003240.24447030265586869158651069,354333085.570244778660221329700026,2318825276.842966109827100587837938,6474468.584569311537359306782725585
46,18533,2020-09-28 02:00:00,782349.9429971126148361582148390357,281159580.1566453610393429153503595,2277040800.958547119148527858215367,6449224.563612942213180374589902856
47,18532,2020-09-27 02:00:00,823367.3608438205322651469201678085,292024513.853300140152042419317245,2228795009.574374734863215085663572,6279808.463901172036518256614297576
48,18531,2020-09-26 02:00:00,652777.3187022781022701568214815072,229387996.1205890573916033056334267,2189263324.690772661172305035312231,6199716.373528997185011175866385515
49,18530,2020-09-25 02:00:00,695974.2190106021560921894764038261,241210759.7091838614734379177664342,2130815393.324027846332744764861646,6062466.214829089808511871014524339
50,18529,2020-09-24 02:00:00,778071.3155706402232655469294027059,260116672.6595706424730839085035712,2087440168.651147520756353944335509,5979719.658658438470664061385646001
51,18528,2020-09-23 02:00:00,1018795.124185065818958341546186887,339701177.2747003181204689537262148,1906147555.665215339816735717910723,5977459.630955032400422111235883684
52,18527,2020-09-22 02:00:00,921392.8157949708154117229448585082,314225123.2094177015383915217615528,1991305267.369494694988141064375641,5814336.283233768621001711510603116
53,18526,2020-09-21 02:00:00,1280595.349245606280563716470819488,449626743.1253845514055498732104779,1970948884.870090797248003389995314,5778387.076058204280396276750651955
54,18525,2020-09-20 02:00:00,999485.5758048747568872950469079104,373934283.8276619355413409444550987,2157183491.010108733577688021178961,5846200.204114849456319563020740051
55,18524,2020-09-19 02:00:00,1229005.993763178645119943806403987,469105606.2098791133121347436623518,2133980088.937688065710619649964939,5571893.35175295128260307269297275
56,18523,2020-09-18 02:00:00,1619397.725316733050043021592496881,617164437.9103654229709926915218114,1908368639.258173362527244096879076,5016481.026408301050703029934463149
57,18522,2020-09-17 02:00:00,1527067.334744265204346090749799395,582878441.5090518489968500589338672,1399178939.982817136276104823814034,3611992.299863570294587362309812417
58,18521,2020-09-16 02:00:00,981845.4435806428808397829320058798,355975612.3761654071477104101390867,916622034.2086795487557318995267672,2505874.834982001830697495842959308
59,18520,2020-09-15 02:00:00,1074717.329142529126753760186911606,396960687.9519979037020886890809614,951963235.861550228024979821507154,2635207.046378459730585206317757623
60,18519,2020-09-14 02:00:00,1271267.994027017635216639777496072,468278241.6044253352948783919633654,1120351107.147078652038999028388052,2992983.764681517831801096562789812
61,18518,2020-09-13 02:00:00,1097688.05923558580535425042003905,405845173.3386954781042378767025403,1054600411.721711713651693519241586,2892281.903479440060934834052605644
62,18517,2020-09-12 02:00:00,825438.9004597579802379908504672337,306357022.3411631396981058001871408,702141892.7784381732854775089931527,1829093.149678430154048502586247793
63,18516,2020-09-11 02:00:00,865124.7761993362901659807932202296,313101833.8964040612560977523760627,754425203.5735846797104589754798646,2034197.258307626581371458997527966
64,18515,2020-09-10 02:00:00,1126561.947378402574551190055140646,409466421.8579633446692597362490936,1070554797.844775715750321605980041,2955101.307882414409420371941022173
65,18514,2020-09-09 02:00:00,1245396.225237071665723463039601302,428506946.8284904344506242854193326,518148235.202453349265973311846514,1482198.213691545687625534966644718
66,18513,2020-09-08 02:00:00,1120049.81436685278994135561087553,379227867.8925349494067722050018184,1570234423.746290154485682461794161,4718597.157919595782414391634484854
67,18512,2020-09-07 02:00:00,1286117.453936405846649047435808081,439468429.8317833312042200562653995,1719625560.054760178308987059135655,4905249.460300812005123601739604645
68,18511,2020-09-06 02:00:00,1847539.034310367458530857802172245,631079294.229738236704662276288217,1619656305.259388994983256042672777,4594460.209539656059186327392863838
69,18510,2020-09-05 02:00:00,2354858.429802854033385853336267216,829799711.3839527563049569134483031,1239325978.597204627330321667466909,3733971.11228066802614384221314936
70,18509,2020-09-04 02:00:00,1510314.723500385666272513809339118,581979884.60987991811142154025221,1960374158.728607656877242728544032,5088010.069968803036547013253541293
71,18508,2020-09-03 02:00:00,2054680.085307097807138027671038784,859738318.0475494733276697717941245,1782857778.598692183104438703074268,4680547.928949960103596846693669283
72,18507,2020-09-02 02:00:00,2057491.433838360682180076931625724,934740761.1109588730938838964633235,1916371778.009794858862485555588635,4333829.203894746535389773564923479
73,18506,2020-09-01 02:00:00,2058122.328991621220171917091048034,953587764.8661316772830110447676957,1951875081.122476251948840347704649,4077166.650639761099660492255610102
74,18505,2020-08-31 02:00:00,1362100.405762656866688751727381087,585359604.5211177150974253012404394,1372699891.197773539685987568314153,3154328.077586148525799494879563707
75,18504,2020-08-30 02:00:00,1226114.003744017853488261362012374,502833582.4274665349399402780551656,937243780.0935083712737881605090573,2205061.531112779854774049835111852
76,18503,2020-08-29 02:00:00,752282.2731895926294209937822417079,299746454.111570642919180338371132,636450250.1474629205833730169147434,1598892.297511337293222830363606959
77,18502,2020-08-28 02:00:00,531236.5178424794388980294987887453,207807264.4129975196480540542180958,520438147.8161752263673062178350106,1320047.762770277945982075299775114
78,18501,2020-08-27 02:00:00,370121.958085572932865775056275205,141164818.5737460841519485934876562,307608887.6103323999193269951355326,810189.455497425431026697129580325
79,18500,2020-08-26 02:00:00,465685.3934214186408605342342957406,179149552.2757146659405322328188445,307997536.2453660179950567752004313,801278.7935317199285526457667984827
80,18499,2020-08-25 02:00:00,420661.511824797091464761895796706,163349457.1290971374235063377563145,290831042.7992716329916670593862618,761438.9235338888502420303613280487
81,18498,2020-08-24 02:00:00,417411.6346320242790883281820538377,166662454.2305592086096650353007554,303055932.0335492124983424922090559,744059.8580163621030733977985402004
82,18497,2020-08-23 02:00:00,317856.4377101570050691875663885643,123940422.6533878560027202423728586,288331462.606502829650862378253363,738305.3873654663035687784643792931
83,18496,2020-08-22 02:00:00,355431.2975372435202789431764615051,138001432.8850919628282384533020973,286499943.7891331467767344072794022,726375.6570284793767462215354586036
84,18495,2020-08-21 02:00:00,552579.9625518023385686512008722846,223719947.582909260544384110928213,270385459.6588152029149246015797476,703413.7408093773032285748689423126
85,18494,2020-08-20 02:00:00,490467.8167097447526374751207362458,201266205.9379236418070170876211658,298284850.420941086987792468630328,719194.6957475441769440836435282438
86,18493,2020-08-19 02:00:00,473172.0251447908691359193863784354,193692626.4827590096315188761343834,307269112.7967763230625187027244135,758315.4928220371372745705205640002
87,18492,2020-08-18 02:00:00,489219.5676695829933123873595457275,208431565.0574647710862654521565562,295587149.8223939012065908288870801,700891.2464854116105623206749691501
88,18491,2020-08-17 02:00:00,381498.4980021829782446324183892083,164134108.5949529901696328644003031,272635035.585708714310482351954977,634412.451942891136323650427542254
89,18490,2020-08-16 02:00:00,357441.1578626304026393148031632442,152527582.6946288475283887019273307,273377195.8865479799227363158989239,632754.6277354806045014201624522695
90,18489,2020-08-15 02:00:00,342738.5914205251921917768264723023,149100194.9363764041571153479251799,271542457.8543349693673540700129463,630610.7103066381718655256931774961
91,18488,2020-08-14 02:00:00,398169.0557480346763400546060651578,170342877.0373047381334660017959754,266207197.2839702200750167227159478,611286.6341074725384671591063067133
92,18487,2020-08-13 02:00:00,626504.4591296459386174396551102572,245038626.3316443297964399722340145,275424161.2035959357898205012492144,650089.0380283545059274124845763566
93,18486,2020-08-12 02:00:00,627311.9561690826582993014280456176,238234901.291406941179904324529595,291950348.1074752968149388145462796,758374.4472521592326990458538708324
94,18485,2020-08-11 02:00:00,381906.0805514361739347409714735512,146898572.5335872434848310892524393,234843106.6106005617476954077249623,620673.2251566422779300435516465923
95,18484,2020-08-10 02:00:00,480044.8588888155665603820738850736,193357472.4745183303408011625615743,228329167.1021986732902932146845606,579989.5446895363046883126689469617
96,18483,2020-08-09 02:00:00,302155.8285211535287206422452798844,117812450.4880267515646216699196361,221720086.5120670820721678561565023,569742.5082268621958713094191543577
97,18482,2020-08-08 02:00:00,271365.270476644642342342607754862,104331084.2295901345639203467518129,214765081.240390771279533989712949,546602.0320952933589422779394602249
98,18481,2020-08-07 02:00:00,273113.7133519797650566811522226322,104808969.2924003168424312449238769,199910842.955310017577592607238294,530378.7876373169337819627913281657
99,18480,2020-08-06 02:00:00,170657.8214753910130848018551721964,67398943.07465475368129583716911553,192848785.2080146965803210132348403,491164.4321976212177824862204017035
100,18479,2020-08-05 02:00:00,161447.4983380280815035972661601271,63357952.69160542415705457898050088,187698717.9554959015809777985246133,471161.7703640172045452705713081862
101,18478,2020-08-04 02:00:00,189448.393725138787292820958747833,73637769.19133816700147127415931943,179890793.8229454542387660214897682,463409.8171089179346860136899737413
102,18477,2020-08-03 02:00:00,193932.5726013109710433345313750808,74710425.90698079049818043386936128,173454249.6495061871297934731402847,451030.4306239159399495990662515972
103,18476,2020-08-02 02:00:00,210740.2686055916796484731623825811,79203153.16888192650869577905729029,160305044.0390734918536281384532746,435362.8500309245073259832062435811
104,18475,2020-08-01 02:00:00,243097.772033253302499649881631561,87169571.74065541811290405979340083,170021688.1563219736460564175632367,443323.5925937298942944089224792597
105,18474,2020-07-31 02:00:00,317206.3990502193110952760607649549,107058142.6948724150909429880627923,151853908.7251311385609958495785803,441528.3804578496344175481332816426
106,18473,2020-07-30 02:00:00,354529.5216902222983272275715083964,112485532.6851007202671503882158928,141945870.4204441682234191322897725,428066.7894912347756770400081258233
107,18472,2020-07-29 02:00:00,287362.6986052874411230517056119348,91026691.33999592199313792278178982,141334131.5810294656777099788604398,449765.1774743348747732722873176939
108,18471,2020-07-28 02:00:00,254660.4997806777833079360040212301,80368942.10480424246230228973068087,144754211.5400200230825593821236857,459500.6397277735637260377806409621
109,18470,2020-07-27 02:00:00,379149.8289643814732194710376780646,121947686.1277959740674151498646315,143633269.295414513051203025587553,450072.6632545396950432789712069061
110,18469,2020-07-26 02:00:00,298242.8352417973773854923078077261,91366557.6954057232854437207570144,135311595.8420970569292921099475002,436085.0448482159022159724252643951
111,18468,2020-07-25 02:00:00,297059.33013445696990941043903809,85029056.61613093141866560681538325,126667689.2580766688149414676339243,416181.1775250486695905227211098894
112,18467,2020-07-24 02:00:00,224297.6455912755090378175598427722,61508740.1572541338277466161276655,108275550.0422301471236242709099112,392247.3825148021084081747549332358
113,18466,2020-07-23 02:00:00,230781.2323204961587500367597642859,61389083.353381046182834233259676,99630803.7870102538836226159175724,363945.6746689386113772153350511144
114,18465,2020-07-22 02:00:00,218905.0123314722965526676462770915,53855098.36742540617666331072123041,95317421.92790913579069451712016198,363996.534958337402868003284432226
115,18464,2020-07-21 02:00:00,186641.0137429453019649016533384471,44970349.96825035984676373945799094,92334982.44098744224578401212559089,378804.6319426423490699262582713222
116,18463,2020-07-20 02:00:00,184902.7595375763422344927656160601,43793966.16703667224911518764962037,86912474.68091359960781002571785279,370834.5796801301299200798019747732
117,18462,2020-07-19 02:00:00,155738.3073862750379861920000184137,36369103.49404724075430112248159093,87421688.32004066681421096400907992,365826.2256411795757066356473412948
118,18461,2020-07-18 02:00:00,160884.0552914700433832065232752278,37473255.37319175136533339485719804,81133072.61924081797347090989651268,346299.4739992330653234910481431746
119,18460,2020-07-17 02:00:00,157963.9064497726510224281659451221,36627200.06280198731001079387125411,78303207.87651608344587256618746051,337777.7669607823575629036961688353
120,18459,2020-07-16 02:00:00,95959.70232445905824907206799655757,22297678.974408237161947344942369,73915518.00551315667370119665612931,317653.564394641507467627648998128
121,18458,2020-07-15 02:00:00,103205.4567438267988086324091142375,24522542.11737812316045412715802121,69151180.43476393786521890315470908,291707.7835480100353323741847415926
122,18457,2020-07-14 02:00:00,95627.64879233261901887909816390884,22752133.08697555058659328116581235,65487660.89871151819249474934369144,273732.2145282712301552695834638602
123,18456,2020-07-13 02:00:00,170663.4214234795803470871227112319,41127410.393594307088439049147417,63251278.37868732365700761321537401,266483.1495599067391115510218512418
124,18455,2020-07-12 02:00:00,101957.54326123824692686950934507,24242082.57519387496718893247663951,62899079.78483313189645154250008811,262145.2436687660646583895747222741
125,18454,2020-07-11 02:00:00,71338.22606193397299921320815971954,16975695.65103953642783959730731237,61112860.48241779314795925476845318,257417.8916395589638120446894102252
126,18453,2020-07-10 02:00:00,63991.08409561648073131254246028198,15183316.39765225217936781865837454,57554450.73992879703673722263405899,239824.0644040881070928867536348941
127,18452,2020-07-09 02:00:00,67444.52194710932060955190106813087,16307568.11288973984322648028401117,57987434.12034136574325350062893423,240837.0506467777570053928979957942
128,18451,2020-07-08 02:00:00,55302.73296570254766278711677697632,13377561.58446938391017783506560422,52934211.38952396165493807763647641,215795.5120848953869114282977859462
129,18450,2020-07-07 02:00:00,37218.62865248919207704057143180523,8814589.564116453049033830844257749,48089679.07610271567377562997646073,202809.6225459573338603812673590827
130,18449,2020-07-06 02:00:00,43933.65929031933934999526759039617,10229539.22308357286517851353572265,46994407.21840321709783905114045407,196059.3326742038448153873716609608
131,18448,2020-07-05 02:00:00,34850.46567330114782670148665838004,7830160.503173699329646896609769715,44228644.39023232734932878104964591,196219.6948478816530686224377904194
132,18447,2020-07-04 02:00:00,40403.39974811190826314407083215562,9072502.165199885307936763263533544,43250568.72805395264674060660840533,190550.6116545210005261284630494684
133,18446,2020-07-03 02:00:00,58645.73361980912700735130971632176,13153208.0626500661114683286007902,42319921.57814770418065676619776634,189684.9786168621251653866246664152
134,18445,2020-07-02 02:00:00,66556.33640367487382200388462827162,15048457.35436460015893209999898522,42126488.49152743401402654766342694,187852.0180259653221777806479540861
135,18444,2020-07-01 02:00:00,58505.28359985305918731509056778485,13235159.38011935337909869690280192,44263527.44594519597342091649031659,193460.8876947630817608088399447174
136,18443,2020-06-30 02:00:00,43954.47294625228488341165165773371,9899112.54358922544973586734776073,41228806.62875165232137213442980313,183632.4352411614687847562884465159
137,18442,2020-06-29 02:00:00,46264.98833468695226032088320112489,10362642.17423020486586961389752003,39147419.14885634034860114637379212,172699.6006276377328053698362406622
138,18441,2020-06-28 02:00:00,32489.17873011993150258785960812686,7242226.663779236472656450338460536,36070565.24158173813543398007311118,160772.2018099642000441185745005708
139,18440,2020-06-27 02:00:00,55240.39246576327592053805994054454,12477834.74929568205658342947889148,35007427.46983781567080301019022526,159077.2101699357066086070879345598
140,18439,2020-06-26 02:00:00,51497.43626522714819936665264636914,11842435.59812208958892629427227824,34083242.79628353649702858321582842,148570.8636347662437159415059893154
141,18438,2020-06-25 02:00:00,63884.1047791516947656053796233322,14839110.563221309271304644728159,33024210.79473586603673509218382137,142165.8699275781374647511500186436
142,18437,2020-06-24 02:00:00,43718.81030498987926511384260744563,10414574.9619022444516457429594583,35007735.17577470773822564312539521,150146.8579870013358129118274251157
143,18436,2020-06-23 02:00:00,46483.93168080664999099381852252177,11369317.08081295951164691527179655,39018142.16875800545894209083849789,161338.3484016882092564349213730701
144,18435,2020-06-22 02:00:00,52979.06071599067788938076538850118,12534928.53022864039189309044026679,37744651.88071115191174652388420319,155971.1647470084457558868285768919
145,18434,2020-06-21 02:00:00,51376.20654291901801412540298762644,11744645.26068259076498679400887298,34820980.97955848477532662719573276,153085.992537308182207672529851638
146,18433,2020-06-20 02:00:00,27701.86335198206706744945039215164,6276776.810766834160194532545837436,37512301.62099254524638569285517753,165158.6950799746064188999283941259
147,18432,2020-06-19 02:00:00,137609.4096631391926377051728056161,31332805.1052955108584346462466281,36304247.50749232843797585547489444,159887.426502451231131557546769401
148,18431,2020-06-18 02:00:00,131014.501035037842163577740412354,30157969.40589540972083493236775747,36036436.74851076423828664630662351,156497.9483492439336747572146996223
149,18430,2020-06-17 02:00:00,222233.54930360633346253460077041,51186700.02758505782144574760289977,33770036.75596695936367596474497311,146301.6487762243126905894246288479
150,18429,2020-06-16 02:00:00,13674.79361990532996852785683220579,3165249.121357308232431531325272427,33397529.47693046461585456896859981,142692.092633910738735784701920644
151,18428,2020-06-15 02:00:00,22040.32869538725132264507762510099,4958816.581208096996542499124343877,32648286.88289223278844882611935708,142251.2912922245605670317601983044
152,18427,2020-06-14 02:00:00,5237.446854552343250036867619474061,1224525.983167023999006534025640577,27865413.16679300912498109027415969,121288.0324839126123965638471521177
153,18426,2020-06-13 02:00:00,5991.028649900971688295421665161003,1418871.906819682028085036433513494,28860160.68909876470704661212176381,121236.6188482245548874962713929588
154,18425,2020-06-12 02:00:00,6724.44168232117467393155152611103,1579740.286965294191114062956808165,28335733.5445618982051089267450814,119179.9988260495708078399238010294
155,18424,2020-06-11 02:00:00,20144.86486690759927003779317320383,4839095.476555666445011747654751358,26712141.97547473603976588218294349,116234.9657328183938038135097916806
156,18423,2020-06-10 02:00:00,10143.69293387313710492435227261219,2467230.855036461988308727681239701,27915763.74018904417117853491568911,112693.5594415426779701116330933935
157,18422,2020-06-09 02:00:00,13026.93928796120813804366210678244,3157435.228062021027511336853863307,27582094.86863907518798252299788109,113257.6927335461860968644808019319
158,18421,2020-06-08 02:00:00,6889.443321098546078177315739963067,1668961.870390980863524695283665411,25135723.97898280452851776434123345,102362.1853976062735090789431700382
159,18420,2020-06-07 02:00:00,5468.48659602770121026723041248974,1313947.499944241342392713463370677,26051204.80134943825142063145013911,106864.2842274874023120220952817448
160,18419,2020-06-06 02:00:00,4006.08502188581515380654413164939,962560.2956703705140576841928042209,25378138.37963002515746985473660584,104919.5953396866478606022227851561
161,18418,2020-06-05 02:00:00,3931.968542964587883646887214258301,949848.4938664432925873364446968647,24908974.02666251488545103088415116,103932.3787690505562483557979566427
162,18417,2020-06-04 02:00:00,4575.658261710009074305085226521366,1109304.035337771422988974384476794,24450309.29580494734314759793777182,100737.7132323717600783027913663428
163,18416,2020-06-03 02:00:00,4344.432731138983578354662473652463,1039106.39495485101942637329203056,24442060.56494985675844180979239773,100477.6787271135353180624736157527
164,18415,2020-06-02 02:00:00,7910.691329498091009901419104088439,1900322.269080958058008220660707098,23612283.3374128325869605135251966,99989.5475560977057045300052054829
165,18414,2020-06-01 02:00:00,5503.827077801214271011800891313857,1318285.874495932521309331634074773,23850510.42026095524124588979619873,96184.09712304523492405682293264963
166,18413,2020-05-31 02:00:00,4740.548334706612721239014638863987,1121430.564857197956392252963551924,21925534.29693277790541405783777569,94726.42191115876916232724273559074
167,18412,2020-05-30 02:00:00,5321.776149602894108153974632341172,1244635.995674471460774856164418695,22804649.48538440744597242597345201,93614.98732224547349338048242726972
168,18411,2020-05-29 02:00:00,6767.782238615009442897887365424172,1509136.735707609530976388759181288,17170617.96019677642252677059182023,78050.92351225742260443089294047729
169,18410,2020-05-28 02:00:00,2793.194116733842737452677515054845,590599.9952291688450878540066150006,16489302.58989777360593842309274893,75426.58522131235056654877135996276
170,18409,2020-05-27 02:00:00,1420.701763706970665994526798997153,291084.4230521146559875367886487162,15758985.57723786591441709711111717,76177.02576404993503383661459666414
171,18408,2020-05-26 02:00:00,1704.015936859986321249847062429364,341621.0455902896700361406269865978,15115680.08698123829795186908746421,75556.63132237872863717281286837612
172,18407,2020-05-25 02:00:00,1283.487100277850012018103806419823,259997.6435459063358162348286195723,15143861.19101359651397832442289169,74255.5491393912889652723513436969
173,18406,2020-05-24 02:00:00,2849.536761796660812510233319933598,592574.4187574118252510970579276793,14662086.96740211496533233567886485,72970.16505691527493206221121233125
174,18405,2020-05-23 02:00:00,1434.864573536069025996729520927508,297187.985685403972211136533315452,15019692.80229503240796964534320076,72562.93222364381743633157059174092
175,18404,2020-05-22 02:00:00,1700.43231851591982980466976058506,345799.2098251617882037966692502722,14325076.41669783716387373842739254,69104.30868671824861577632746403738
176,18403,2020-05-21 02:00:00,2427.884499328500089148779194077835,484247.5073567982749741933030150663,10804628.66042090736199884602964983,54273.49971071456368351513229571396
177,18402,2020-05-20 02:00:00,1191.623753308619909303119754781879,250868.9786409112923188348137041577,11029530.02592271861497236468080272,52489.83572216583650859879941401455
178,18401,2020-05-19 02:00:00,180.1697260549419070073137224094182,38046.08279573811780469315816796765,4653179.148398675313960193675396653,21794.33232516459046761092261484141
179,18400,2020-05-18 02:00:00,0,0,1274553.968036319064976753141039091,5987.47100239512282267917416589942
180,18399,2020-05-17 02:00:00,0,0,1140.413904579444321761507300707686,5.579078228391374395557769896605064
181,18398,2020-05-16 02:00:00,0,0,887.7901627703700927445429200041315,4.449025676102634987679590048566458
182,18397,2020-05-15 02:00:00,0,0,757.3190631929862369568789660206656,3.891071608996935154
183,18396,2020-05-14 02:00:00,0,0,314.3108566667041741638726302054363,1.451668709835434226
184,18395,2020-05-13 02:00:00,0,0,231.9551243481523569026624342940402,1.141321666883393337
185,18394,2020-05-12 02:00:00,0,0,14.13387998608355303556432554349372,0.109178364964656712
186,18393,2020-05-11 02:00:00,0,0,18.75575726469834827925495451505825,0.08877624195043786799999999999999999
187,18390,2020-05-08 02:00:00,0,0,18.81567240547130278983503413202888,0.08871273859619242700000000000000001
188,18389,2020-05-07 02:00:00,0,0,3.205904320817102476152628363677479,0.015921362843772577
189,18388,2020-05-06 02:00:00,0,0,3.205901078245611864832838471153563,0.015921362843758435
190,18387,2020-05-05 02:00:00,0,0,0.9889999999999999999999999999999999,0.004908523513507407
